author,usertext,wordcount,thecount,Icount,andcount,upvotes
Neil_Patrick,"I hear a lot of good things about Slime Rancher. Can someone explain to me what it is all about?  What does it compare to?
",25,0,1,0,9
KillMeAtTheEnd,"So you go around finding slimes and maintaining your ranch that they will live on. You have to feed each slime the proper diet they require which means you're also now raising chickens and growing produce. You collect the ""plorts"" the slimes produce and sell them so you can keep upgrading the ranch.  You also want to explore the island which is fun but eventually feeding the slimes, collecting chickens, fruits and veggies, collecting and selling plorts starts to take up all your time and is the reason why my SO and I stopped playing. The first several hours are fun though but I can't recommend the first eight hours or so at that price. But that's just my experience and opinion of course. 
",124,8,2,8,20
BugbearsRUs,"I got it a sale or two ago and have about 15 hours put into it. The only thing I've played like it would be Stardew Valley, and like that game you spend your time exploring, collecting and managing resources. There aren't any seasons though so you won't have to min max when it comes to what kind of slimes do you want, you basically experiment and go at your own pace.
Basically you are a frontiersperson on some weird planet full of adorable slimes. You explore the different areas available and round up the particular slimes you want. Feed them and they produce different things depending on their type. You can have them eat a different slime's produce and they take on the properties of that other slime. You can upgrade your ranch and equipment, allowing you to house more exotic slimes that produce more valuable goods and so on.
That's the gist of it, I thought it was fun for those 15 hours at least. Not sure how many more I'll put in but I got my money's worth. A game for when you really want to take it easy imo.
",193,4,3,9,6
rip10,"I've been looking for some coop survival/crafting games.  I got Rust during this sale, and the crafting and survival mechanics are fun, as is the base building, but all the pvp and frequently dying is really discouraging, so I think I'm looking for something more PVE focused.   
I have Terraria and Factorio, but I was looking at some of the FPS survival games, like The Forest, ARK, Subnautica, or Empyrion (which is currently featured today).  Are any of these worth checking out?  Any others I should look at?  
",88,4,5,4,5
xEverdred,"The Forest if you want to uncover a story and enjoy the horror aspect, ARK if you want a game to dump hundreds of hours into (look up overhaul mods like extinction if you plan on playing solo or with a couple friends), Subnautica if you want a story and a peaceful base building game where you occasionally get the shit scared out of you and Empyrion if don't mind simple combat and are okay with spending most of your time mining or building .
",85,2,0,4,4
Riveted321,"I just picked up Empyion a couple weeks ago and have put about 30 hours into it. At this point, I'm at the end-game of travelling between star systems, but...there's nothing to really do now, besides build prettier-looking ships. It's decent, but definitely half-finished. I would give it another 6 months or so for them to put more features into the game.
",62,2,2,1,3
Swingswish,"my to-buy-list is:
(wants to know u guys' opinion if the current price is worth it)
Priorites : 
",18,1,0,0,3
iLuhkz,"So far, what I've bought! (Please share your opinions!)  
",9,0,0,0,24
PM_ME_K1ND_WORDS,,0,0,0,0,38
Eat_Dem_Waffles,"Torchlight II is definitely more fun in co-op. I'm not big on traditional rpgs so I wouldn't play it otherwise, but if you have some people to play it with then its definitely worth it. 
Hollow Knight is one of my favorite games of this year. Its a Metroidvania so expect a lot of exploration and some challenging combat, and honestly the music and atmosphere alone are worth it.
Fallout 4 is by all means a good game, I just wouldn't say it's a good Fallout Game (if that makes sense). A lot of the dark humor and personality of the world is lost with the new chat system, but the improvements in gunplay, power armor, and plotline make it a very solid rpg.
Tomb Raider is 10/10 i 100% the first one and I'm close to beating the second. They give actual purpose to hunting and crafting in this one which is a lot of fun since so much of the first perk tree focuses on it. The lack of multiplayer is a bit disappointing though, i really enjoyed the first game's, as flawed as it was 
Edit: Just thought I'd add that you might want to start with Dark Souls 1! It's aged very well, and most everything you learn there will carry over into Dark Souls 3. Dark Souls 2 is a bit of a different story (I recommend the Scholar of the First Sin edition of DS2 if you are going to play it at all) you will get frustrated a lot at first, but id still give it a try. That frustration leads to a great sense of reward for every little thing you accomplish!
",280,11,2,8,3
snorlz,"lol No Mans Sky for $24? for real?
",8,0,0,0,54
dae1d10,"I'd consider it at 75%, maybe. At that point I'd start investigating what they fixed and what they didn't, but that's still to steep for a game I'm not interested in
",31,0,0,1,17
TheGameJunky,"The absence of a Dark Souls: Prepare to Die Edition deal deeply saddens me.
",14,0,0,0,11
thebehemoth6000,"Thinking about buying Roguelands.
",4,0,0,0,2
Dragathar12,"Any gems under $5 for students like me?
",8,0,0,0,2
AeternumFlame,,0,0,0,0,6
explore_a_world,"dishonoured / transistor maybe?
",4,0,0,0,2
ghandpivot,,0,0,0,0,4
